model,quantization,dataset,mean,sd,total,max,population
MIS,GPTQ,BTHS,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,GPTQ,HW,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,AWQ,HW,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,AWQ,MOZILLA,0.3,0.45825756949558394,3,1,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
MIS,AQLM,MOZILLA,16.8,3.867815921162743,168,22,"[14, 22, 16, 14, 17, 21, 12, 22, 19, 11]"
MIS,NONE,HW,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,NONE,AMINA,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,GPTQ,MOZILLA,0.1,0.30000000000000004,1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
MIS,AWQ,AMINA,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,NONE,MOZILLA,0.2,0.4000000000000001,2,1,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
MIS,NONE,BTHS,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,AQLM,BTHS,1.5,0.5,15,2,"[2, 1, 2, 2, 1, 2, 1, 2, 1, 1]"
MIS,AWQ,BTHS,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MIS,AQLM,AMINA,6.3,5.292447448959696,63,18,"[7, 7, 5, 18, 0, 6, 4, 13, 3, 0]"
MIS,AQLM,HW,8.3,0.6403124237432849,83,9,"[9, 8, 9, 9, 8, 8, 8, 9, 8, 7]"
MIS,GPTQ,AMINA,0.0,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
