model,quantization,dataset,iteration,accuracy,recall,precision,f1,balanced_accuracy,specificity
MIS,AQLM,AMINA,1,0.948,0.3170731707317073,0.35135135135135137,0.33333333333333337,0.661137773287306,0.9709241952232607
MIS,AQLM,AMINA,2,0.9483870967741935,0.41935483870967744,0.37142857142857144,0.393939393939394,0.6735521235521236,0.9756756756756757
MIS,AQLM,AMINA,3,0.9221052631578948,0.2564102564102564,0.18181818181818182,0.2127659574468085,0.5747079735906552,0.9675977653631285
MIS,AQLM,AMINA,4,0.9458064516129032,0.1935483870967742,0.2608695652173913,0.2222222222222222,0.6138124421831638,0.9667553191489362
MIS,AQLM,AMINA,5,0.9574193548387097,0.7419354838709677,0.4791666666666667,0.5822784810126582,0.7340812700596057,0.9889958734525447
MIS,AQLM,AMINA,6,0.94,0.4,0.3076923076923077,0.34782608695652173,0.6411879259980526,0.9746835443037974
MIS,AQLM,AMINA,7,0.9243243243243243,0.40540540540540543,0.23809523809523808,0.3,0.6062865981659485,0.974477958236659
MIS,AQLM,AMINA,8,0.9507692307692308,0.20512820512820512,0.32,0.25,0.6436842105263157,0.9673684210526315
MIS,AQLM,AMINA,9,0.9546666666666667,0.5161290322580645,0.45714285714285713,0.4848484848484849,0.7180819180819181,0.9790209790209791
MIS,AQLM,AMINA,10,0.95375,0.59375,0.4418604651162791,0.5066666666666667,0.7123437067985623,0.9828269484808454
MIS,AQLM,BTHS,1,0.5769230769230769,0.36363636363636365,0.5,0.4210526315789474,0.5555555555555556,0.6111111111111112
MIS,AQLM,BTHS,2,0.7021276595744681,0.35714285714285715,0.5,0.41666666666666663,0.6283783783783784,0.7567567567567568
MIS,AQLM,BTHS,3,0.7428571428571429,0.5384615384615384,0.7,0.608695652173913,0.73,0.76
MIS,AQLM,BTHS,4,0.7272727272727273,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6724565756823822,0.8064516129032258
MIS,AQLM,BTHS,5,0.7,0.3333333333333333,0.5,0.4,0.625,0.75
MIS,AQLM,BTHS,6,0.7045454545454546,0.38461538461538464,0.5,0.4347826086956522,0.6323529411764706,0.7647058823529411
MIS,AQLM,BTHS,7,0.7428571428571429,0.6153846153846154,0.6666666666666666,0.64,0.7246376811594203,0.782608695652174
MIS,AQLM,BTHS,8,0.7209302325581395,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6692307692307693,0.8
MIS,AQLM,BTHS,9,0.6578947368421053,0.5,0.5384615384615384,0.5185185185185186,0.6292307692307693,0.72
MIS,AQLM,BTHS,10,0.5238095238095238,0.0,0.0,0.0,0.3235294117647059,0.6470588235294118
MIS,AQLM,HW,1,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,2,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,3,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,4,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,5,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,7,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,8,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,HW,9,0.7777777777777778,0.3333333333333333,1.0,0.5,0.875,0.75
MIS,AQLM,HW,10,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
MIS,AQLM,MOZILLA,1,0.9248,0.28,0.19444444444444445,0.22950819672131148,0.5819420863987927,0.969439728353141
MIS,AQLM,MOZILLA,2,0.9485714285714286,0.0,0.0,0.0,0.4797687861271676,0.9595375722543352
