model,quantization,dataset,iteration,accuracy,recall,precision,f1,balanced_accuracy,specificity
MIS,AQLM,AMINA,1,0.959,0.0,0.0,0.0,0.4795,0.959
MIS,AQLM,AMINA,2,0.9548387096774194,0.03225806451612903,0.16666666666666666,0.05405405405405405,0.5638274815778067,0.9609882964889467
MIS,AQLM,AMINA,3,0.9589473684210527,0.0,0.0,0.0,0.47947368421052633,0.9589473684210527
MIS,AQLM,AMINA,4,0.96,0.0,0.0,0.0,0.48,0.96
MIS,AQLM,AMINA,5,0.96,0.0,0.0,0.0,0.48,0.96
MIS,AQLM,AMINA,6,0.9533333333333334,0.03333333333333333,0.14285714285714285,0.05405405405405406,0.5519130936358393,0.9609690444145357
MIS,AQLM,AMINA,7,0.96,0.0,0.0,0.0,0.48,0.96
MIS,AQLM,AMINA,8,0.96,0.0,0.0,0.0,0.48,0.96
MIS,AQLM,AMINA,9,0.9573333333333334,0.06451612903225806,0.4,0.1111111111111111,0.6805369127516778,0.9610738255033557
MIS,AQLM,AMINA,10,0.96,0.0,0.0,0.0,0.48,0.96
MIS,AQLM,BTHS,1,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,2,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,3,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,4,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,5,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,6,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,7,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,8,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,9,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,BTHS,10,0.8333333333333334,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334
MIS,AQLM,HW,1,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,2,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,3,0.8395061728395061,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.53,0.8933333333333333
MIS,AQLM,HW,4,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,5,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,6,0.7654320987654321,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.5191897654584222,0.8955223880597015
MIS,AQLM,HW,7,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,8,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,HW,9,0.8024691358024691,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.8888888888888888
MIS,AQLM,HW,10,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888
MIS,AQLM,MOZILLA,1,0.9568,0.32,0.4444444444444444,0.37209302325581395,0.7082189273293062,0.9719934102141681
MIS,AQLM,MOZILLA,2,0.9504761904761905,0.047619047619047616,0.14285714285714285,0.07142857142857142,0.5521235521235521,0.9613899613899614
MIS,AQLM,MOZILLA,3,0.904,0.15,0.08823529411764706,0.11111111111111112,0.525877303711184,0.9635193133047211
MIS,AQLM,MOZILLA,4,0.846,0.25,0.07462686567164178,0.11494252873563218,0.5199924166695391,0.9653579676674365
MIS,AQLM,MOZILLA,5,0.9060869565217391,0.21739130434782608,0.12195121951219512,0.15625,0.5441216771718279,0.9662921348314607
MIS,AQLM,MOZILLA,6,0.951304347826087,0.0,0.0,0.0,0.47982456140350876,0.9596491228070175
MIS,AQLM,MOZILLA,7,0.8945454545454545,0.18181818181818182,0.09090909090909091,0.12121212121212123,0.5276679841897233,0.9644268774703557
MIS,AQLM,MOZILLA,8,0.9142857142857143,0.0,0.0,0.0,0.47904191616766467,0.9580838323353293
MIS,AQLM,MOZILLA,9,0.9511111111111111,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.5641891891891891,0.9617117117117117
MIS,AQLM,MOZILLA,10,0.9326315789473684,0.2631578947368421,0.21739130434782608,0.23809523809523808,0.5932089265101962,0.9690265486725663
MIS,AWQ,AMINA,1,0.98,0.7073170731707317,0.7837837837837838,0.7435897435897435,0.8856613622968763,0.9875389408099688
MIS,AWQ,AMINA,2,0.9716129032258064,0.8709677419354839,0.6,0.7105263157894737,0.7972602739726027,0.9945205479452055
MIS,AWQ,AMINA,3,0.9810526315789474,0.5897435897435898,0.92,0.71875,0.9513513513513514,0.9827027027027027
MIS,AWQ,AMINA,4,0.9922580645161291,0.9354838709677419,0.8787878787878788,0.90625,0.9380462304990607,0.9973045822102425
MIS,AWQ,AMINA,5,0.9754838709677419,0.8064516129032258,0.6578947368421053,0.7246376811594202,0.8248768121116904,0.9918588873812755
MIS,AWQ,AMINA,6,0.9613333333333334,0.9666666666666667,0.5087719298245614,0.6666666666666667,0.7536644641907799,0.9985569985569985
MIS,AWQ,AMINA,7,0.9881081081081081,0.7297297297297297,0.9642857142857143,0.8307692307692307,0.9765687211339386,0.9888517279821628
MIS,AWQ,AMINA,8,0.9774358974358974,0.6666666666666666,0.7428571428571429,0.7027027027027027,0.8645136778115501,0.9861702127659574
MIS,AWQ,AMINA,9,0.9733333333333334,0.9354838709677419,0.6170212765957447,0.7435897435897436,0.8070881631911867,0.9971550497866287
MIS,AWQ,AMINA,10,0.98875,0.875,0.8484848484848485,0.8615384615384615,0.9216348623128284,0.9947848761408083
MIS,AWQ,BTHS,1,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,2,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,3,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,4,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,5,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,6,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,7,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,8,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,9,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,BTHS,10,0.8666666666666667,0.85,0.5666666666666667,0.68,0.7666666666666666,0.9666666666666667
MIS,AWQ,HW,1,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,2,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,3,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,4,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,5,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,6,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,7,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,8,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,9,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,HW,10,0.8395061728395061,0.3333333333333333,0.3,0.3157894736842105,0.6077464788732394,0.9154929577464789
MIS,AWQ,MOZILLA,1,0.9792,0.48,1.0,0.6486486486486487,0.9893964110929854,0.9787928221859706
MIS,AWQ,MOZILLA,2,0.979047619047619,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.9197651663405088,0.9823874755381604
MIS,AWQ,MOZILLA,3,0.988,0.7,1.0,0.8235294117647058,0.9938271604938271,0.9876543209876543
MIS,AWQ,MOZILLA,4,0.982,0.8,0.7619047619047619,0.7804878048780488,0.8767770156079133,0.9916492693110647
MIS,AWQ,MOZILLA,5,0.9756521739130435,0.391304347826087,1.0,0.5625,0.9876325088339223,0.9752650176678446
MIS,AWQ,MOZILLA,6,0.9860869565217392,0.6956521739130435,0.9411764705882353,0.7999999999999999,0.9643158338604259,0.9874551971326165
MIS,AWQ,MOZILLA,7,0.9709090909090909,0.4090909090909091,0.75,0.5294117647058824,0.8629182156133829,0.9758364312267658
MIS,AWQ,MOZILLA,8,0.9657142857142857,0.38095238095238093,0.6153846153846154,0.47058823529411764,0.7949969951923077,0.974609375
MIS,AWQ,MOZILLA,9,0.9844444444444445,0.7222222222222222,0.8666666666666667,0.7878787878787877,0.9275862068965517,0.9885057471264368
MIS,AWQ,MOZILLA,10,0.9726315789473684,0.3684210526315789,0.875,0.5185185185185185,0.924652034261242,0.974304068522484
MIS,GPTQ,AMINA,1,0.976,0.6829268292682927,0.717948717948718,0.7000000000000001,0.8522105712532351,0.9864724245577523
MIS,GPTQ,AMINA,2,0.9922580645161291,0.9354838709677419,0.8787878787878788,0.90625,0.9380462304990607,0.9973045822102425
MIS,GPTQ,AMINA,3,0.9715789473684211,0.5897435897435898,0.6764705882352942,0.6301369863013699,0.8295016696634986,0.982532751091703
MIS,GPTQ,AMINA,4,0.9922580645161291,0.967741935483871,0.8571428571428571,0.909090909090909,0.9278957528957529,0.9986486486486487
MIS,GPTQ,AMINA,5,0.9858064516129033,0.9032258064516129,0.7777777777777778,0.835820895522388,0.8868591189294843,0.9959404600811907
MIS,GPTQ,AMINA,6,0.9733333333333334,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.802927371541502,0.9971590909090909
MIS,GPTQ,AMINA,7,0.9881081081081081,0.7027027027027027,1.0,0.8253968253968255,0.9938820912124583,0.9877641824249166
MIS,GPTQ,AMINA,8,0.9794871794871794,0.6923076923076923,0.7714285714285715,0.7297297297297296,0.8793313069908815,0.9872340425531915
MIS,GPTQ,AMINA,9,0.9853333333333333,0.9354838709677419,0.7631578947368421,0.8405797101449276,0.8801744529863986,0.9971910112359551
MIS,GPTQ,AMINA,10,0.98375,0.90625,0.7435897435897436,0.8169014084507042,0.8698237811247009,0.9960578186596584
MIS,GPTQ,BTHS,1,0.8416666666666667,0.85,0.5151515151515151,0.6415094339622641,0.7403343782654128,0.9655172413793104
MIS,GPTQ,BTHS,2,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,BTHS,3,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,BTHS,4,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,BTHS,5,0.875,0.8,0.5925925925925926,0.6808510638297872,0.7747909199522103,0.956989247311828
MIS,GPTQ,BTHS,6,0.8583333333333333,0.8,0.5517241379310345,0.6530612244897959,0.7538840469874952,0.9560439560439561
MIS,GPTQ,BTHS,7,0.875,0.75,0.6,0.6666666666666665,0.7736842105263158,0.9473684210526315
MIS,GPTQ,BTHS,8,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,BTHS,9,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,BTHS,10,0.8833333333333333,0.8,0.6153846153846154,0.6956521739130435,0.7864157119476269,0.9574468085106383
MIS,GPTQ,HW,1,0.8271604938271605,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.6363636363636364,0.9393939393939394
MIS,GPTQ,HW,2,0.8395061728395061,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.6487206823027719,0.9402985074626866
