model,quantization,dataset,iteration,time_to_analyze,gpu_util_mean,gpu_util_max,vram_util_mean,vram_util_max,vram_max_usage_mib
MIS,AQLM,AMINA,1,352.01063279109076,56.98918529199712,100.0,20.165825522710886,50.0,4249.0
MIS,AQLM,AMINA,2,317.6938350778073,50.730830670926515,100.0,15.449680511182109,54.0,3935.0
MIS,AQLM,AMINA,3,1654.061708229594,58.771078806426935,100.0,21.13221117061974,49.0,4145.0
MIS,AQLM,AMINA,4,339.38636971637607,51.676382660687594,100.0,16.109865470852018,51.0,3923.0
MIS,AQLM,AMINA,5,173.68667426984757,47.76427525622255,100.0,13.200585651537335,53.0,3913.0
MIS,AQLM,AMINA,6,388.1525765247643,52.222367560497055,100.0,16.530412034009156,51.0,3971.0
MIS,AQLM,AMINA,7,1386.5084195951931,55.137194008037994,100.0,18.06503470953599,51.0,4157.0
MIS,AQLM,AMINA,8,533.3678713659756,53.2339514978602,100.0,17.534474560152162,51.0,4277.0
MIS,AQLM,AMINA,9,686.8054227037355,49.80131482834186,100.0,15.276844411979548,50.0,3867.0
MIS,AQLM,AMINA,10,631.5083656162024,51.9483306836248,100.0,16.667329093799683,51.0,4163.0
MIS,AQLM,BTHS,1,576.9745882928837,58.39016963897347,100.0,20.92996955197912,49.0,4805.0
MIS,AQLM,BTHS,2,600.3319252801593,58.709030100334445,100.0,20.96697324414716,49.0,4677.0
MIS,AQLM,BTHS,3,449.38321644603275,57.88659217877095,100.0,20.521787709497207,48.0,4805.0
MIS,AQLM,BTHS,4,452.1282588765025,59.02330743618202,100.0,20.864039955604884,49.0,4805.0
MIS,AQLM,BTHS,5,622.7409765999764,57.99074074074074,100.0,20.59098228663446,49.0,4805.0
MIS,AQLM,BTHS,6,590.525972362142,58.62988115449915,100.0,21.053480475382003,50.0,4805.0
MIS,AQLM,BTHS,7,573.4641526038758,59.73972003499563,100.0,21.334645669291337,49.0,4805.0
MIS,AQLM,BTHS,8,592.8446390372701,57.87129551227773,100.0,20.698560541913633,48.0,4677.0
MIS,AQLM,BTHS,9,733.9776297598146,59.278783737615306,100.0,21.329005807994534,49.0,4805.0
