"","Model","PromptA","PromptB","pvalue","VDA","SSD","Eff.Size","Best"
"1","LLAMA","BASE","PT1",0,0,"Yes","Large","PT1"
"2","LLAMA","BASE","PT2",0,1,"Yes","Large","BASE"
"3","LLAMA","BASE","PT3",0,1,"Yes","Large","BASE"
"4","LLAMA","BASE","PT4",0,0,"Yes","Large","PT4"
"5","LLAMA","BASE","PT5",0,0.75,"Yes","Large","BASE"
"6","LLAMA","BASE","PT6",0,1,"Yes","Large","BASE"
"7","LLAMA","PT1","PT2",0,1,"Yes","Large","PT1"
"8","LLAMA","PT1","PT3",0,1,"Yes","Large","PT1"
"9","LLAMA","PT1","PT4",0,0,"Yes","Large","PT4"
"10","LLAMA","PT1","PT5",0,1,"Yes","Large","PT1"
"11","LLAMA","PT1","PT6",0,1,"Yes","Large","PT1"
"12","LLAMA","PT2","PT3",0,1,"Yes","Large","PT2"
"13","LLAMA","PT2","PT4",0,0,"Yes","Large","PT4"
"14","LLAMA","PT2","PT5",1,0.5,"No","Negligible","---"
"15","LLAMA","PT2","PT6",0,1,"Yes","Large","PT2"
"16","LLAMA","PT3","PT4",0,0,"Yes","Large","PT4"
"17","LLAMA","PT3","PT5",1,0.47,"No","Negligible","---"
"18","LLAMA","PT3","PT6",0.383,0.67,"No","Medium","PT3"
"19","LLAMA","PT4","PT5",0,1,"Yes","Large","PT4"
"20","LLAMA","PT4","PT6",0,1,"Yes","Large","PT4"
"21","LLAMA","PT5","PT6",0,0.83,"Yes","Large","PT5"
"22","GPT-4","BASE","PT1",0,0.18,"Yes","Large","PT1"
"23","GPT-4","BASE","PT2",0,0.18,"Yes","Large","PT2"
"24","GPT-4","BASE","PT3",0.015,0.27,"Yes","Large","PT3"
"25","GPT-4","BASE","PT4",0,0.22,"Yes","Large","PT4"
"26","GPT-4","BASE","PT5",1,0.39,"No","Small","PT5"
"27","GPT-4","BASE","PT6",0.112,0.3,"No","Medium","PT6"
"28","GPT-4","BASE","PT7",1,0.56,"No","Negligible","BASE"
"29","GPT-4","PT1","PT3",0.15,0.62,"No","Small","PT1"
"30","GPT-4","PT1","PT4",0.578,0.58,"No","Small","PT1"
"31","GPT-4","PT1","PT5",0,0.83,"Yes","Large","PT1"
"32","GPT-4","PT1","PT6",0,0.78,"Yes","Large","PT1"
"33","GPT-4","PT1","PT7",0,0.97,"Yes","Large","PT1"
"34","GPT-4","PT2","PT3",0.15,0.62,"No","Small","PT2"
"35","GPT-4","PT2","PT4",0.578,0.58,"No","Small","PT2"
"36","GPT-4","PT2","PT5",0,0.83,"Yes","Large","PT2"
"37","GPT-4","PT2","PT6",0,0.78,"Yes","Large","PT2"
"38","GPT-4","PT2","PT7",0,0.97,"Yes","Large","PT2"
"39","GPT-4","PT3","PT4",1,0.46,"No","Negligible","---"
"40","GPT-4","PT3","PT5",0.061,0.71,"No","Medium","PT3"
"41","GPT-4","PT3","PT6",0.897,0.64,"No","Small","PT3"
"42","GPT-4","PT3","PT7",0,0.85,"Yes","Large","PT3"
"43","GPT-4","PT4","PT5",0.001,0.77,"Yes","Large","PT4"
"44","GPT-4","PT4","PT6",0.04,0.7,"Yes","Medium","PT4"
"45","GPT-4","PT4","PT7",0,0.91,"Yes","Large","PT4"
"46","GPT-4","PT5","PT6",1,0.38,"No","Small","PT6"
