"","Model","Prompt","Measure","Mean","Median","SD","YMin","YMax","MedianDiff","Improvement","Hline"
"1","GPT-3.5","BASE","Precision",0.624312848797503,0.538461538461538,0.113797638085374,0.510515210712129,0.738110486882877,0,FALSE,0.538461538461538
"2","GPT-3.5","BASE","Recall",0.571666666666667,0.625,0.156295108431263,0.415371558235404,0.72796177509793,0,FALSE,0.625
"3","GPT-3.5","PT1","Precision",0.723434343434343,0.7,0.0425008016968636,0.68093354173748,0.765935145131207,0.161538461538462,TRUE,0.538461538461538
"4","GPT-3.5","PT1","Recall",0.363333333333333,0.35,0.0224888222554402,0.340844511077893,0.385822155588774,-0.275,FALSE,0.625
"5","GPT-3.5","PT2","Precision",0.885075757575757,0.888888888888888,0.0221219904387776,0.862953767136979,0.907197748014535,0.35042735042735,TRUE,0.538461538461538
"6","GPT-3.5","PT2","Recall",0.41,0.4,0.033218191941496,0.376781808058504,0.443218191941496,-0.225,FALSE,0.625
"7","GPT-3.5","PT3","Precision",0.536973372322477,0.52,0.0908409600388619,0.446132412283615,0.627814332361339,-0.018461538461538,FALSE,0.538461538461538
"8","GPT-3.5","PT3","Recall",0.625,0.65,0.0521106250334738,0.572889374966526,0.677110625033474,0.025,TRUE,0.625
"9","GPT-3.5","PT4","Precision",0,0,0,0,0,-0.538461538461538,FALSE,0.538461538461538
"10","GPT-3.5","PT4","Recall",0,0,0,0,0,-0.625,FALSE,0.625
"11","GPT-3.5","PT5","Precision",0.570002058930344,0.515151515151515,0.170118601629754,0.39988345730059,0.740120660560097,-0.023310023310023,FALSE,0.538461538461538
"12","GPT-3.5","PT5","Recall",0.795,0.8,0.0461444508562794,0.748855549143721,0.841144450856279,0.175,TRUE,0.625
"13","GPT-3.5","PT6","Precision",0.749999999999999,0.777777777777777,0.0847579379526011,0.665242062047398,0.8347579379526,0.239316239316239,TRUE,0.538461538461538
"14","GPT-3.5","PT6","Recall",0.71,0.7,0.0305128576629365,0.679487142337064,0.740512857662937,0.0750000000000001,TRUE,0.625
"15","GPT-3.5","PT7","Precision",0.592882475004716,0.483870967741935,0.12826960622806,0.464612868776656,0.721152081232776,-0.0545905707196029,FALSE,0.538461538461538
"16","GPT-3.5","PT7","Recall",0.746666666666667,0.75,0.0126854065851231,0.733981260081544,0.75935207325179,0.125,TRUE,0.625
"17","GPT-4","BASE","Precision",0.855565121153356,0.857142857142857,0.0155132660843555,0.840051855069001,0.871078387237712,0,FALSE,0.857142857142857
"18","GPT-4","BASE","Recall",0.6,0.6,0.0742781352708207,0.525721864729179,0.674278135270821,0,FALSE,0.6
"19","GPT-4","PT1","Precision",0.853377178377178,0.857142857142857,0.0195402424092938,0.833836935967885,0.872917420786472,0,FALSE,0.857142857142857
"20","GPT-4","PT1","Recall",0.563333333333333,0.575,0.0453593569659868,0.517973976367347,0.60869269029932,-0.025,FALSE,0.6
"21","GPT-4","PT2","Precision",0.83417735042735,0.83974358974359,0.0440194473389263,0.790157903088424,0.878196797766276,-0.0173992673992676,FALSE,0.857142857142857
"22","GPT-4","PT2","Recall",0.575,0.575,0.0716192037433228,0.503380796256677,0.646619203743323,-0.025,FALSE,0.6
"23","GPT-4","PT3","Precision",0.78633547008547,0.785714285714285,0.023161903009851,0.763173567075619,0.809497373095321,-0.0714285714285721,FALSE,0.857142857142857
"24","GPT-4","PT3","Recall",0.543333333333333,0.55,0.0583292280985675,0.485004105234766,0.601662561431901,-0.05,FALSE,0.6
"25","GPT-4","PT4","Precision",0.816694416694416,0.833333333333333,0.0419688677048684,0.774725548989548,0.858663284399285,-0.0238095238095241,FALSE,0.857142857142857
"26","GPT-4","PT4","Recall",0.528333333333333,0.5,0.0536324228579056,0.474700910475428,0.581965756191239,-0.1,FALSE,0.6
"27","GPT-4","PT5","Precision",0.851121794871795,0.857142857142857,0.0220784388330622,0.829043356038732,0.873200233704857,0,FALSE,0.857142857142857
"28","GPT-4","PT5","Recall",0.621666666666667,0.65,0.0703235543672998,0.551343112299367,0.691990221033967,0.0499999999999999,TRUE,0.6
"29","GPT-4","PT6","Precision",0.872996031746031,0.866666666666666,0.0373157904663717,0.83568024127966,0.910311822212403,0.00952380952380893,TRUE,0.857142857142857
"30","GPT-4","PT6","Recall",0.661666666666667,0.65,0.0313031157789646,0.630363550887702,0.692969782445631,0.0499999999999999,TRUE,0.6
"31","GPT-4","PT7","Precision",0.84668145035792,0.823529411764705,0.0336399580500661,0.813041492307854,0.880321408407986,-0.033613445378152,FALSE,0.857142857142857
"32","GPT-4","PT7","Recall",0.683333333333333,0.7,0.035557950110938,0.647775383222395,0.718891283444271,0.1,TRUE,0.6
"33","LLAMA","BASE","Precision",0.739130434782608,0.739130434782608,0,0.739130434782608,0.739130434782608,0,FALSE,0.739130434782608
"34","LLAMA","BASE","Recall",0.85,0.85,0,0.85,0.85,0,FALSE,0.85
"35","LLAMA","PT1","Precision",0.742028985507246,0.739130434782608,0.00488887440335683,0.737140111103889,0.746917859910603,0,FALSE,0.739130434782608
"36","LLAMA","PT1","Recall",0.863333333333333,0.85,0.0224888222554402,0.840844511077893,0.885822155588774,0,FALSE,0.85
"37","LLAMA","PT2","Precision",0.772891963109354,0.772727272727272,0.0113768384928658,0.761515124616488,0.78426880160222,0.0335968379446639,TRUE,0.739130434782608
"38","LLAMA","PT2","Recall",0.878333333333333,0.9,0.0252003466496866,0.853132986683647,0.90353367998302,0.05,TRUE,0.85
"39","LLAMA","PT3","Precision",0.695652173913043,0.695652173913043,0,0.695652173913043,0.695652173913043,-0.0434782608695651,FALSE,0.739130434782608
"40","LLAMA","PT3","Recall",0.8,0.8,0,0.8,0.8,-0.0499999999999999,FALSE,0.85
"41","LLAMA","PT4","Precision",0.739130434782608,0.739130434782608,0,0.739130434782608,0.739130434782608,0,FALSE,0.739130434782608
"42","LLAMA","PT4","Recall",0.85,0.85,0,0.85,0.85,0,FALSE,0.85
