"","Model","Prompt","Measure","Mean","Median","SD","YMin","YMax","MedianDiff","Improvement","Hline"
"1","GPT-3.5","BASE","Precision",0.979420450350683,0.977272727272727,0.0069836902273737,0.972436760123309,0.986404140578056,0,FALSE,0.977272727272727
"2","GPT-3.5","BASE","Recall",0.926086956521739,0.934782608695652,0.016742002129108,0.909344954392631,0.942828958650847,0,FALSE,0.934782608695652
"3","GPT-3.5","PT1","Precision",1,1,0,1,1,0.0227272727272729,TRUE,0.977272727272727
"4","GPT-3.5","PT1","Recall",0.734782608695652,0.739130434782608,0.0184108922734737,0.716371716422178,0.753193500969126,-0.195652173913044,FALSE,0.934782608695652
"5","GPT-3.5","PT2","Precision",0.997247247247247,1,0.00840020655519694,0.98884704069205,1.00564745380244,0.0227272727272729,TRUE,0.977272727272727
"6","GPT-3.5","PT2","Recall",0.800724637681159,0.804347826086956,0.0318289242091777,0.768895713471981,0.832553561890337,-0.130434782608696,FALSE,0.934782608695652
"7","GPT-3.5","PT3","Precision",0.994660167567144,1,0.00984728295247207,0.984812884614672,1.00450745051962,0.0227272727272729,TRUE,0.977272727272727
"8","GPT-3.5","PT3","Recall",0.949999999999999,0.956521739130434,0.0152655054316913,0.934734494568308,0.965265505431691,0.0217391304347819,TRUE,0.934782608695652
"9","GPT-3.5","PT4","Precision",1,1,0,1,1,0.0227272727272729,TRUE,0.977272727272727
"10","GPT-3.5","PT4","Recall",0.281159420289855,0.282608695652173,0.0570707203267544,0.2240886999631,0.338230140616609,-0.652173913043479,FALSE,0.934782608695652
"11","GPT-3.5","PT5","Precision",0.992441077441077,1,0.0108730419299749,0.981568035511102,1.00331411937105,0.0227272727272729,TRUE,0.977272727272727
"12","GPT-3.5","PT5","Recall",0.95,0.956521739130434,0.0101324260804214,0.939867573919578,0.960132426080421,0.0217391304347819,TRUE,0.934782608695652
"13","GPT-3.5","PT6","Precision",0.860817409800021,0.88235294117647,0.0259153922843405,0.834902017515681,0.886732802084362,-0.094919786096257,FALSE,0.977272727272727
"14","GPT-3.5","PT6","Recall",0.972463768115942,0.978260869565217,0.00977774880671332,0.962686019309228,0.982241516922655,0.043478260869565,TRUE,0.934782608695652
"15","GPT-3.5","PT7","Precision",0.828732924958445,0.88,0.131329129151374,0.69740379580707,0.960062054109819,-0.0972727272727271,FALSE,0.977272727272727
"16","GPT-3.5","PT7","Recall",0.950724637681159,0.956521739130434,0.00977774880671282,0.940946888874446,0.960502386487872,0.0217391304347819,TRUE,0.934782608695652
"17","GPT-4","BASE","Precision",0.985233494363929,0.977777777777777,0.012058077887221,0.973175416476708,0.99729157225115,0,FALSE,0.977777777777777
