model,dataset,metric,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,effsize,magnitude,status
MIS,AMINA,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,time_to_analyze,GPTQ,NONE,10,10,50,0.02,0.02,*,0.7252406676228422,large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,GPTQ,10,10,0,0.006,0.023,*,0.8869814095043039,large,ok
MIS,AMINA,vram_max_usage_mib,AQLM,NONE,10,10,0,0.006,0.023,*,0.8875586835058664,large,ok
MIS,AMINA,vram_max_usage_mib,AWQ,GPTQ,10,10,0,0.006,0.023,*,0.8869814095043039,large,ok
MIS,AMINA,vram_max_usage_mib,AWQ,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,vram_max_usage_mib,GPTQ,NONE,10,10,0,0.006,0.023,*,0.8869814095043039,large,ok
MIS,BTHS,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,time_to_analyze,AWQ,NONE,10,10,54,0.004,0.012,*,0.854172341866903,large,ok
MIS,BTHS,time_to_analyze,GPTQ,NONE,10,10,7,0.037,0.037,*,0.6607748305008118,large,ok
MIS,HW,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,HW,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,HW,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,HW,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,HW,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,HW,time_to_analyze,GPTQ,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,AQLM,AWQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,AQLM,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,AQLM,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,AWQ,GPTQ,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,AWQ,NONE,10,10,55,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,time_to_analyze,GPTQ,NONE,10,10,45,0.084,0.084,ns,0.5640760748177662,large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,AWQ,10,10,51,0.014,0.027,*,0.7574735861838574,large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,GPTQ,10,10,48,0.037,0.037,*,0.6607748305008118,large,ok
MIS,MOZILLA,vram_max_usage_mib,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,vram_max_usage_mib,AWQ,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,vram_max_usage_mib,AWQ,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,vram_max_usage_mib,GPTQ,NONE,10,10,0,0.006,0.018,*,0.8869814095043039,large,ok
