model,dataset,metric,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,effsize,magnitude,status
MIS,AMINA,balanced_accuracy,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,balanced_accuracy,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,balanced_accuracy,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,balanced_accuracy,AWQ,GPTQ,10,10,6,0.205,0.41,ns,0.41044318956444903,moderate,ok
MIS,AMINA,balanced_accuracy,AWQ,NONE,10,10,13,0.933,0.933,ns,0.01641772758257796,small,ok
MIS,AMINA,balanced_accuracy,GPTQ,NONE,10,10,15,0.059,0.177,ns,0.6963106238227913,large,ok
MIS,AMINA,recall,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,recall,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,recall,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,recall,AWQ,GPTQ,10,10,3,1,1,ns,0.1414213562373095,small,ok
MIS,AMINA,recall,AWQ,NONE,10,10,3,1,1,ns,0.1414213562373095,small,ok
MIS,AMINA,recall,GPTQ,NONE,10,10,3,0.371,1,ns,0.446595469986155,moderate,ok
MIS,AMINA,precision,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,precision,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,precision,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,precision,AWQ,GPTQ,10,10,6,0.205,0.41,ns,0.41044318956444903,moderate,ok
MIS,AMINA,precision,AWQ,NONE,10,10,13,0.933,0.933,ns,0.01641772758257796,small,ok
MIS,AMINA,precision,GPTQ,NONE,10,10,15,0.059,0.177,ns,0.6963106238227913,large,ok
MIS,AMINA,f1,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,f1,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,f1,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,AMINA,f1,AWQ,GPTQ,10,10,7,0.272,0.544,ns,0.4761140998947609,moderate,ok
MIS,AMINA,f1,AWQ,NONE,10,10,12,0.8,0.8,ns,0.11492409307804573,small,ok
MIS,AMINA,f1,GPTQ,NONE,10,10,15,0.059,0.177,ns,0.6963106238227913,large,ok
MIS,BTHS,balanced_accuracy,AQLM,AWQ,10,10,10,0.084,0.252,ns,0.5640760748177662,large,ok
MIS,BTHS,balanced_accuracy,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,balanced_accuracy,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,BTHS,balanced_accuracy,AWQ,GPTQ,10,10,28,0.181,0.362,ns,0.520824613613542,large,ok
MIS,BTHS,balanced_accuracy,AWQ,NONE,10,10,0,0.371,0.371,ns,0.446595469986155,moderate,ok
MIS,BTHS,balanced_accuracy,GPTQ,NONE,10,10,0,0.014,0.055,ns,0.8463399971220057,large,ok
MIS,BTHS,recall,AQLM,AWQ,10,10,45,0.009,0.053,ns,0.8736994822822741,large,ok
MIS,BTHS,recall,AQLM,GPTQ,10,10,45,0.009,0.053,ns,0.8736994822822741,large,ok
MIS,BTHS,recall,AQLM,NONE,10,10,45,0.009,0.053,ns,0.8736994822822741,large,ok
MIS,BTHS,recall,AWQ,GPTQ,10,10,28,0.172,0.344,ns,0.5264325773139185,large,ok
MIS,BTHS,recall,AWQ,NONE,10,10,0,0.371,0.371,ns,0.446595469986155,moderate,ok
MIS,BTHS,recall,GPTQ,NONE,10,10,0,0.012,0.053,ns,0.8554529381351176,large,ok
MIS,BTHS,precision,AQLM,AWQ,10,10,7.5,0.082,0.246,ns,0.602602666335622,large,ok
MIS,BTHS,precision,AQLM,GPTQ,10,10,0,0.008,0.042,*,0.8794741616790159,large,ok
MIS,BTHS,precision,AQLM,NONE,10,10,0,0.008,0.042,*,0.8794741616790159,large,ok
MIS,BTHS,precision,AWQ,GPTQ,10,10,0,1,1,ns,0.31622776601683794,moderate,ok
MIS,BTHS,precision,AWQ,NONE,10,10,0,1,1,ns,0.31622776601683794,moderate,ok
MIS,BTHS,precision,GPTQ,NONE,10,10,0,NA,NA,,NA,NA,error
MIS,BTHS,f1,AQLM,AWQ,10,10,45,0.009,0.055,ns,0.871989139078087,large,ok
MIS,BTHS,f1,AQLM,GPTQ,10,10,45,0.009,0.055,ns,0.871989139078087,large,ok
MIS,BTHS,f1,AQLM,NONE,10,10,45,0.009,0.055,ns,0.871989139078087,large,ok
MIS,BTHS,f1,AWQ,GPTQ,10,10,28,0.172,0.344,ns,0.5264325773139185,large,ok
MIS,BTHS,f1,AWQ,NONE,10,10,0,0.371,0.371,ns,0.446595469986155,moderate,ok
MIS,BTHS,f1,GPTQ,NONE,10,10,0,0.012,0.055,ns,0.8554529381351176,large,ok
MIS,HW,balanced_accuracy,AQLM,AWQ,10,10,0,0.006,0.035,*,0.8892972917998876,large,ok
MIS,HW,balanced_accuracy,AQLM,GPTQ,10,10,0,0.008,0.035,*,0.8853648783083364,large,ok
MIS,HW,balanced_accuracy,AQLM,NONE,10,10,0,0.006,0.035,*,0.8892972917998876,large,ok
MIS,HW,balanced_accuracy,AWQ,GPTQ,10,10,2,0.361,0.722,ns,0.33197000110349284,moderate,ok
MIS,HW,balanced_accuracy,AWQ,NONE,10,10,0,0.035,0.106,ns,0.7557956604763766,large,ok
MIS,HW,balanced_accuracy,GPTQ,NONE,10,10,17,0.944,0.944,ns,0.09739695071153479,small,ok
MIS,HW,recall,AQLM,AWQ,10,10,0,0.005,0.03,*,0.9041944301794651,large,ok
MIS,HW,recall,AQLM,GPTQ,10,10,0,0.007,0.03,*,0.8944271909999157,large,ok
MIS,HW,recall,AQLM,NONE,10,10,0,0.005,0.03,*,0.9011551125709445,large,ok
MIS,HW,recall,AWQ,GPTQ,10,10,10,0.089,0.089,ns,0.6291982286679645,large,ok
MIS,HW,recall,AWQ,NONE,10,10,0,0.034,0.067,ns,0.7579367289598671,large,ok
MIS,HW,recall,GPTQ,NONE,10,10,0,0.014,0.041,*,0.8469010445797931,large,ok
MIS,HW,precision,AQLM,AWQ,10,10,0,0.008,0.039,*,0.8835852486128686,large,ok
MIS,HW,precision,AQLM,GPTQ,10,10,0,0.006,0.036,*,0.8944271909999159,large,ok
MIS,HW,precision,AQLM,NONE,10,10,0,0.008,0.039,*,0.8841772655962824,large,ok
MIS,HW,precision,AWQ,GPTQ,10,10,1,0.197,0.591,ns,0.36916961010103,moderate,ok
MIS,HW,precision,AWQ,NONE,10,10,0,0.371,0.742,ns,0.446595469986155,moderate,ok
MIS,HW,precision,GPTQ,NONE,10,10,6.5,0.71,0.742,ns,0.27711335022643735,small,ok
MIS,HW,f1,AQLM,AWQ,10,10,0,0.006,0.034,*,0.8898791023245385,large,ok
MIS,HW,f1,AQLM,GPTQ,10,10,0,0.008,0.034,*,0.8853648783083364,large,ok
MIS,HW,f1,AQLM,NONE,10,10,0,0.006,0.034,*,0.8898791023245385,large,ok
MIS,HW,f1,AWQ,GPTQ,10,10,9,0.197,0.197,ns,0.36916961010103,moderate,ok
MIS,HW,f1,AWQ,NONE,10,10,0,0.035,0.071,ns,0.7557956604763766,large,ok
MIS,HW,f1,GPTQ,NONE,10,10,1,0.021,0.062,ns,0.7467099554551001,large,ok
MIS,MOZILLA,balanced_accuracy,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,balanced_accuracy,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,balanced_accuracy,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,balanced_accuracy,AWQ,GPTQ,10,10,21,0.557,1,ns,0.20951397064659888,small,ok
MIS,MOZILLA,balanced_accuracy,AWQ,NONE,10,10,18,0.375,1,ns,0.3062127263296445,moderate,ok
MIS,MOZILLA,balanced_accuracy,GPTQ,NONE,10,10,26,0.722,1,ns,0.09682458365518543,small,ok
MIS,MOZILLA,recall,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,recall,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,recall,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,recall,AWQ,GPTQ,10,10,31,0.343,0.343,ns,0.32295894039929146,moderate,ok
MIS,MOZILLA,recall,AWQ,NONE,10,10,4.5,0.038,0.076,ns,0.6943617218584767,large,ok
MIS,MOZILLA,recall,GPTQ,NONE,10,10,0,0.009,0.027,*,0.8714212528966688,large,ok
MIS,MOZILLA,precision,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,precision,AQLM,GPTQ,10,10,0,0.006,0.029,*,0.8869814095043039,large,ok
MIS,MOZILLA,precision,AQLM,NONE,10,10,0,0.006,0.029,*,0.8869814095043039,large,ok
MIS,MOZILLA,precision,AWQ,GPTQ,10,10,15.5,0.441,1,ns,0.2422192052994686,small,ok
MIS,MOZILLA,precision,AWQ,NONE,10,10,13,0.529,1,ns,0.2919985580353726,small,ok
MIS,MOZILLA,precision,GPTQ,NONE,10,10,20,0.353,1,ns,0.24626591373866943,small,ok
MIS,MOZILLA,f1,AQLM,AWQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,f1,AQLM,GPTQ,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,f1,AQLM,NONE,10,10,0,0.002,0.012,*,0.8864052604279182,large,ok
MIS,MOZILLA,f1,AWQ,GPTQ,10,10,35,0.492,0.492,ns,0.24174688920761409,small,ok
MIS,MOZILLA,f1,AWQ,NONE,10,10,5,0.02,0.039,*,0.7252406676228422,large,ok
MIS,MOZILLA,f1,GPTQ,NONE,10,10,0,0.009,0.027,*,0.8714212528966688,large,ok
