model,quantization,dataset,iteration,accuracy,recall,precision,f1,balanced_accuracy,specificity
MIS,AWQ,BTHS,1,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,2,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,3,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,4,0.8416666666666667,0.05,1.0,0.09523809523809523,0.9201680672268908,0.8403361344537815
MIS,AWQ,BTHS,5,0.8416666666666667,0.05,1.0,0.09523809523809523,0.9201680672268908,0.8403361344537815
MIS,AWQ,BTHS,6,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,7,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,8,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,9,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,AWQ,BTHS,10,0.8416666666666667,0.05,1.0,0.09523809523809523,0.9201680672268908,0.8403361344537815
MIS,AWQ,ENCO,1,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,2,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,3,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,4,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,5,0.9914634146341463,0.7391304347826086,0.9444444444444444,0.8292682926829269,0.9684815738431698,0.9925187032418953
MIS,AWQ,ENCO,6,0.9914634146341463,0.7391304347826086,0.9444444444444444,0.8292682926829269,0.9684815738431698,0.9925187032418953
MIS,AWQ,ENCO,7,0.9908536585365854,0.7391304347826086,0.918918918918919,0.8192771084337348,0.9557164775505387,0.9925140361821585
MIS,AWQ,ENCO,8,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,9,0.9920731707317073,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.969541906223129,0.9931378665003119
MIS,AWQ,ENCO,10,0.9914634146341463,0.7391304347826086,0.9444444444444444,0.8292682926829269,0.9684815738431698,0.9925187032418953
MIS,AWQ,SNAKE,1,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,2,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,3,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,4,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
