Dataset,Accuracy,Param,Threshold,TP,FP,Recall,Precision,Balanced Accuracy
AMINA,0.9969230769230769,accuracy,0.49,109.0,25.0,0.8790322580645161,0.8134328358208955,0.9061334861523256
BTHS,0.8583333333333333,accuracy,0.44,6.0,14.0,0.6666666666666666,0.3,0.635
Mozilla,0.9970597029801654,accuracy,0.75,25.0,229.0,0.78125,0.0984251968503937,0.5491688538932633
HealthWatcher,0.9382716049382716,accuracy,0.45,4.0,5.0,1.0,0.4444444444444444,0.7222222222222222
AMINA,0.9767692307692307,balanced_accuracy,0.16,130.0,4.0,0.3037383177570093,0.9701492537313433,0.9734937159376442
BTHS,0.7416666666666667,balanced_accuracy,0.31,12.0,8.0,0.34285714285714286,0.6,0.685
Mozilla,0.9490805342370179,balanced_accuracy,0.13,236.0,18.0,0.05481997677119629,0.9291338582677166,0.9391388576427946
HealthWatcher,0.8518518518518519,balanced_accuracy,0.24,8.0,1.0,0.42105263157894735,0.8888888888888888,0.8680555555555556
AMINA,0.9724615384615385,precision,0.15,130.0,4.0,0.26859504132231404,0.9701492537313433,0.9713174373739881
BTHS,0.65,precision,0.26,13.0,7.0,0.2708333333333333,0.65,0.65
Mozilla,0.9375062294428387,precision,0.11,236.0,18.0,0.04508979747802828,0.9291338582677166,0.9333333333333333
HealthWatcher,0.8518518518518519,precision,0.24,8.0,1.0,0.42105263157894735,0.8888888888888888,0.8680555555555556
AMINA,0.9899230769230769,recall,1.00,3.0,131.0,1.0,0.022388059701492536,0.5111940298507462
BTHS,0.8583333333333333,recall,0.44,6.0,14.0,0.6666666666666666,0.3,0.635
Mozilla,0.9968479019236519,recall,0.88,1.0,253.0,1.0,0.003937007874015748,0.5019685039370079
HealthWatcher,0.9012345679012346,recall,0.76,1.0,8.0,1.0,0.1111111111111111,0.5555555555555556
