ID,Purpose,Test steps
21,Security log,Verify that all relevant information is logged in the security log
23,Log date and system time,Verify that all entries in the log contain the date and system time
29,Switching on and off and status of breakers from other GE system,Verify that switching on is not possible by integration from other system. Verify that switching off is not possible by integration from other system. Verify that status of switches is possible to see by integration.
32,Send the same info again,Receive same info from file. Receive same info from meter
63,Lifetime Cat1,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
78,Dependencies with other systems,"For example, turn off the connection between Collection Manager and OMNIA Flex."
86,Testing tools,The Contractor shall use a tool designated by the Contracting Authority to follow the Contracting Authority's reporting of test results. The Supplier is responsible for registering in the tool its feedback and status on the Customer's reported errors and comments. The Client currently uses ReQtest in the defect management process.
98,Scope of UAT,The purchaser's UAT (User Acceptance Test) shall include testing and verification of all requirements of the Specification unless otherwise agreed.
99,Training for UAT,The Contractor shall carry out the necessary training and submit the relevant documentation according to point 5 before the start of the Customer's UAT.
141,Metering units in HES,"Verify that it is possible to install new Metering Unit - Cat 1, 1 phase. Verify that it is possible to install new Metering Unit - Cat 1, 3 phase. Verify that it is possible to install new Metering Unit - Cat 2. Replace meter type Cat 1, 1 phase. Replace meter type Cat 1, 3 phase. Replace meter type Cat 2. Take down meter type Cat 1, 1 phase. Take down meter type Cat 1, 3 phase. Take down meter type Cat 2"
149,Automatic collection of Measured values,Verify that the metering system can be configured for regular automatic collection of Measurement values from Metering Units to HES.
237,Detecting meters with communication problems,Verify that in HES it is possible for the User to detect and see individual Metering Units that have communication problems.
255,Display of PQ values,Verify that in HES it is possible to analyze and visualize PQ values in e.g. graphs and bars.
271,copy static fields,"Verify that it is possible to copy static fields in HES such as headers, status, responses to Events in the system."
273,Request further confirmation,"Verify that commands, initiated by the User in HES, which may have serious consequences in case of incorrect handling (deletion of stored measurement and structure data and switching off and on of power) require additional confirmation before being executed. Verify that commands which do not have serious consequences do not require additional confirmation before being executed."
274,Mass deletion,Verify that in HES there is a function to perform mass deletion of overall structure data objects so that all linked relations are also deleted. E.g. that this is implemented via group membership.
