ID,Feature,Description
R-3,File Bookmark,"Add a new bookmark into a specific location within the bookmarks
      hierarchy."
R-6,Add/Delete Personal Toolbar bookmark,"Verify that items from the personal toolbar folder are properly
      added/deleted."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-8,Surf Bookmark,"Verify that double-clicking on a bookmark causes it to be launched in
      a browser window"
R-9,Surf All Bookmarks,Verify that there are no 'dead' default links.
R-10,Edit item properties,"Verify that changes to an item are saved without loss of item
      integrity."
R-14,Save State,Verify that changes are saved over restart/crash
R-20,Show/Hide columns,Show and hide columns.
R-27,Delete multiple bookmarks,Verify that several bookmarks are deleted at one time.
R-31,Styled Text,"Currently, it is my understanding that there will be no new features
      in this area"
R-32,Styled Text,"Determine whether text copied from a formatted web page (such as
      within a table) has a ""non-annoying"" layout."
R-33,Images,"Determine whether native and non-native images are correctly copied
      to the system Clipboard."
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-38,General,"Determine whether text can be copied and pasted from text fields
      within a dialog box."
R-39,General,"Determine whether text outputted by JavaScript is properly
      copied."
R-41,D&D Links across browser windows,"Confirm that dragging a link across browser windows
      opens the link."
R-43,D&D Images across browser windows,"Verify that dragging an image across browser windows
      opens the image"
R-46,D&D to Composer,"Verify that browser contents can be dragged to
      a Composer or Compose Mail window."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-53,D&D from the destkop – Invalid Items,"Confirm that invalid items dragged to the
      browser window are handled properly"
R-61,"D&D <a href=""/drag-url-browser-toolbar/"">
      Given link is non-fetchable, non-retrievable Personal Toolbar",Determine if you can drag items to and from the Personal Toolbar
R-62,D&D Bookmarks menu to toolbar,"Verify that you can drag a bookmark from the Bookmarks menu
      to the Personal Toolbar."
R-63,Dragging links to AIM,"Verify that you can drag a URL or page content to
      an AIM window"
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-75,Prefill - choose,"Verify that when you encounter a Web site that could be prefilled
      and have several choices for fields that you are given the pre-fill
      dialog and can select from the appropriate values and the information
      is filled into the form."
R-79,Delete Form Data - cancel,"Verify that if you delete data in the Form Manager then
      click cancel, the data has not been deleted"
