ID,Purpose,TestSteps
T-1,"Purpose
This basic testcase is designed to verify that a bookmarks file is being
  detected and is being displayed at the appropriate places.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select the toplevel ""Bookmarks"" menu. Select any bookmark on the
    list. Click ""Bookmarks"" on the Bookmarks/personal toolbar. Open the sidebar; click on the ""Bookmarks"" panel. From the toplevel ""Bookmarks"" menu select ""Manage Bookmarks"".

Expected Results
Bookmarks and folders(including the Personal Toolbar Folder) should
    appear as menu items. Menuitems that are folders should have a solid
    triangle indicating a submenu is present. Bookmarks and folders(including the Personal Toolbar Folder) should
    appear as menu items. Menuitems that are folders should have a solid
    triangle indicating a submenu is present. Bookmarks should appear with the green ribbon icon. Folders should have
    a folder icon. The Personal Toolbar Folder should have a combination
    icon. The Manage Bookmarks window should appear and be populated with
    bookmarks and folders."
T-2,"Purpose
This basic testcase is designed to verify that a bookmark is properly
  added and is displayed at the appropriate places.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select the toplevel 'Bookmarks' menu then select the first menuitem
    'Add Bookmark'.

Expected Results
The title of the page you selected should appear as a bookmark in:
the toplevel 'Bookmarks' menu the 'Bookmarks' popup menu on the personal toolbar the 'Bookmarks' panel in MySidebar in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)"
T-3,"Purpose
This basic testcase is designed to verify that bookmarks can be added and
  file to a specific location in one step.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Open this link in a
    new window. With the new window in front select from the toplevel menu
    Bookmarks|File Bookmark. In the folder tree select a folder and click 'OK'.

Expected Results
After Step(2) a dialog should appear with the Name and Location of the
    current page pre-filled. After Step(3) the bookmark should immediately appear in the toplevel
    bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks
    sidepanel, and the manage bookmarks window at the specified position within
    the hierarchy."
T-4,"Purpose
This basic testcase is designed to verify that new bookmarks are properly
  created. *This testcase will change/evolve as the UI for this feature becomes
  finalized.*","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select File|New Bookmark. Type in any name and location (URL) Click Enter.

Expected Results
A dialog box should appear prompting you for the Name and Location (URL)
    of the new bookmark. The new bookmark should immediately appear on the toplevel bookmarks
    menu, the bookmarks popup on the personal toolbar, the bookmarks sidepanel,
    and the manage bookmarks window."
T-5,"Purpose
This basic testcase is designed to verify that a bookmark is properly
  deleted and is no longer displayed at the appropriate places.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select the toplevel 'Bookmarks' menu then select the 'Manage Bookmarks'
  menuitem.
Select (highlight) a bookmark, press the delete key, OR Select (highlight) a bookmark, Select Edit|Delete. Click OK in the
    dialog that appears.

Expected Results
The title of and link to the bookmark should now be removed from:
the toplevel 'Bookmarks' menu the 'Bookmarks' popup menu on the personal toolbar the 'Bookmarks' panel in MySidebar in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)"
T-6,"Purpose
This basic testcase is designed to verify that bookmarks are added and
  deleted from the personal toolbar properly.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Open the Manage Bookmarks Window. Edit|Cut or Edit|Copy any bookmark. Select the 'Personal Toolbar Folder'. Double-click it or single-click
    the triangle to open the folder. Select Edit|Paste. Go to a browser window and click once on the new link in the personal
    toolbar.

Expected Results
The bookmark you added should appear immediately on the personal
    toolbar in a browser window and be activated by a single click. It should also be present as a subitem under ""Personal Toolbar Folder""
    in the toplevel Bookmarks menu, in the bookmarks popup within the personal
    toolbar itself, and in the bookmarks sidepanel."
T-7,"Purpose
This basic testcase is designed to verify that folders are properly
  created and inserted into the bookmarks hierarchy.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select any item in your list. Select File|New Folder. Click ""OK"" in the
    dialog that appears. Select the folder you just created. Select File|New Folder. Click ""OK""
    in the dialog that appears. Double-click the folder you just created. Select File|New Folder. Click
    ""OK"" in the dialog that appears.

Expected Results
For step (2) a folder named ""New Folder"" should have been created and
    added just below the item you had selected. That item could be a bookmark,
    a folder, or a separator. For step (3) the folder should have again been created below the item
    (New Folder). In step (4) however, the folder should be created inside the previous folder. All of the newly created folders should appear with the correct
    hierarchical structure in the toplevel bookmarks menu, the bookmarks popup
    on the personal toolbar, the bookmarks panel in the sidebar, and of course
    the manage bookmarks window."
T-8,"Purpose
This basic testcase is designed to verify that the fundamental bookmark
  function is in place, i.e. clicking on a bookmark takes you to that page.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select the toplevel ""Bookmarks"" menu. Select any bookmark on the
    list. Click ""Bookmarks"" on the Bookmarks/personal toolbar. Select any
    bookmark on the list. Open the sidebar; click on the ""Bookmarks"" panel. Double-click any
    bookmark on the list. From the toplevel ""Bookmarks"" menu select ""Manage Bookmarks"".
    Double-click any bookmark in the window.

Expected Results
In all cases, the url corresponding to the bookmark you selected should be
  loaded in the browser window."
T-9,"Purpose
This basic testcase is designed to verify that all the bookmarks within
  the default bookmarks file that is packaged with the browser are valid
  links.","Initial Conditions
You must have the default bookmarks file installed. Here is the Netscape bookmarks file , here is the Mozilla bookmarks file .

Steps/Description
Using the Bookmarks menu or the Manage Bookmarks window, select and surf
  each and every bookmark in turn.

Expected Results
Each bookmark should load completely in the browser window. There should
  be no ""dead"" links."
T-10,"Purpose
This basic testcase is designed to verify that the edit properties feature
  works as prescribed for various items.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select a bookmark. Select File|Bookmark Properties. Change the Name OR the Location. Edit the Description field. Click ""OK"" Surf the link. Select a folder. Select File|Bookmark Properties. Change the Name. Change the description. Click ""OK"".

Expected Results
For step(2) the changes should take effect upon pressing ""OK"". The
    changes should be seen in the four standard locations.If the name changed
    clicking the new bookmark name should go to the same url. If the url
    changed, clicking the same name should go to the new url. For step(3) the changes should take effect upon pressing ""OK"". The
    changes should be seen in the four standard locations."
T-11,"Purpose
This basic testcase is designed to verify that folders are properly
  deleted.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select any folder. Select from the following choices: Select Edit|Delete. Click OK. Hit the Backspace key. Hit the Delete key Select 2 or many folders, repeat step (3).

Expected Results
In step (3a) a confirmation dialog should appear, allowing you to
    cancel the delete operation. In steps (3b) and (3c), or after clicking ""OK"" in (3a), the folder
    should be immediately deleted. In step (4) you should only be presented with one confirmation dialog,
    clicking ""OK"" should result in all selected folders being deleted. Folders should immediately disappear (be deleted) from the toplevel
    bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks
    sidepanel, and the manage bookmarks window."
