ID,Feature,Description
S2,Traceable metering devices,"All delivered metering devices, down to component level, shall be traceable and can be linked at least to the manufacturing batch and time of manufacture"
S24,Operation of the metering unit after phase loss,The metering unit in a 3-phase installation shall continue to function even if one or two phases are lost.
S119,Energy values are exported within 30 sec,The energy values (15-minute values) shall be exportable from HES via integrations to other systems within 30 seconds after registration in HES
S166,Authorization profiles for user rights,"HES shall have authorization profiles for at least the following user rights:
- Accessing operating system, starting and stopping the system, updating database, changing authorization profiles, etc.
- Input/update of structural data, collection of Metering values, etc.
- Connection and disconnection of the customer installation via the Metering Unit switch
- Access to Metering Unit meter data and settings
- Only 'view', not 'edit'"
S228,Controlling logout time,The client shall be able to control after how many minutes of inactivity a User is automatically logged out of HES.
B15,Measurement and recording / phase,"The metering unit shall be able to measure and record for each phase the minimum, maximum and average value of voltage, current, active and reactive power of the electricity output and input per 5 minutes."
B30,Record when high power exceeds limit value per phase,"The metering system shall record and store information when the following Events occur:
14. High power exceeds set limit value per phase"
B31,Record when power output exceeds limit value,"The metering system shall record and store information when the following Events occur:
15. Total power consumption exceeds the set limit value"
B45,screw anchors,There shall be no protrusions around the screw fixings of the metering unit that limit the size of the screw head.
S557,Scope of UAT,The purchaser's UAT (User Acceptance Test) shall include testing and verification of all requirements according to the Specification unless otherwise agreed.
