ID,Purpose,Test steps
T-2,"Purpose
This basic testcase is designed to verify that a bookmark is properly
  added and is displayed at the appropriate places.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks . You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select the toplevel 'Bookmarks' menu then select the first menuitem
    'Add Bookmark'.

Expected Results
The title of the page you selected should appear as a bookmark in:
the toplevel 'Bookmarks' menu the 'Bookmarks' popup menu on the personal toolbar the 'Bookmarks' panel in MySidebar in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)"
T-3,"Purpose
This basic testcase is designed to verify that bookmarks can be added and
  file to a specific location in one step.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Open this link in a
    new window. With the new window in front select from the toplevel menu
    Bookmarks|File Bookmark. In the folder tree select a folder and click 'OK'.

Expected Results
After Step(2) a dialog should appear with the Name and Location of the
    current page pre-filled. After Step(3) the bookmark should immediately appear in the toplevel
    bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks
    sidepanel, and the manage bookmarks window at the specified position within
    the hierarchy."
T-7,"Purpose
This basic testcase is designed to verify that folders are properly
  created and inserted into the bookmarks hierarchy.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select any item in your list. Select File|New Folder. Click ""OK"" in the
    dialog that appears. Select the folder you just created. Select File|New Folder. Click ""OK""
    in the dialog that appears. Double-click the folder you just created. Select File|New Folder. Click
    ""OK"" in the dialog that appears.

Expected Results
For step (2) a folder named ""New Folder"" should have been created and
    added just below the item you had selected. That item could be a bookmark,
    a folder, or a separator. For step (3) the folder should have again been created below the item
    (New Folder). In step (4) however, the folder should be created inside the previous folder. All of the newly created folders should appear with the correct
    hierarchical structure in the toplevel bookmarks menu, the bookmarks popup
    on the personal toolbar, the bookmarks panel in the sidebar, and of course
    the manage bookmarks window."
T-11,"Purpose
This basic testcase is designed to verify that folders are properly
  deleted.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select any folder. Select from the following choices: Select Edit|Delete. Click OK. Hit the Backspace key. Hit the Delete key Select 2 or many folders, repeat step (3).

Expected Results
In step (3a) a confirmation dialog should appear, allowing you to
    cancel the delete operation. In steps (3b) and (3c), or after clicking ""OK"" in (3a), the folder
    should be immediately deleted. In step (4) you should only be presented with one confirmation dialog,
    clicking ""OK"" should result in all selected folders being deleted. Folders should immediately disappear (be deleted) from the toplevel
    bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks
    sidepanel, and the manage bookmarks window."
T-12,"Purpose
This basic testcase is designed to verify that the show/hide behavior for
  folders is correct.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Double-click a closed folder. Click a closed(points right) disclosure triangle. Double-click an open folder. Click an open(points down) disclosure triangle.

Expected Results
Steps (1) and (2), the folder's contents should be exposed, the folder
    icon should change to an open folder icon, the disclosure triangle should
    point down. Steps (3) and (4), the folder's contents should be concealed, the open
    folder icon should change to a closed folder icon, the disclosure triangle
    should point right."
T-13,"Purpose
This basic testcase is designed to verify that separators are properly
  added and deleted.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select a bookmark. Select File|New Separator. Select the separator. Select Edit|Delete, click ""OK"".

Expected Results
After step (3) separator should immediately appear below the selected
    item in the toplevel bookmarks menu, the bookmarks popup on the personal
    toolbar, the bookmarks sidepanel, and the manage bookmarks window. After step (4) the separator should immediately disappear (be deleted)
    from the toplevel bookmarks menu, the bookmarks popup on the personal
    toolbar, the bookmarks sidepanel, and the manage bookmarks window."
T-14,"Purpose
This basic testcase is designed to verify that bookmarks are added and
  deleted from the personal","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Click on disclosure triangles to open/close several folders. Remember which were open/closed. Do the same for bookmarks folders in the bookmarks sidepanel. (Do not
    close Manage Bookmarks) Quit the browser (alternately, induce a crash) Launch the browser and open the sidebar and Manage Bookmarks.

Expected Results
The bookmarks tree should have the same shape, ie folders that were
    closed should still be closed and those that were open should still be
    open. This should be true for the bookmarks in the sidepanel as well."
T-17,"Purpose
This basic testcase is designed to verify that the edit properties feature
  works as prescribed for various items.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which
    I use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select a bookmark. Select File|Bookmark Properties. Enter the word ""blah"" in the custom keyword field. Click ""OK"". In a browser window. Type ""blah"" into the url field and press
    enter.

Expected Results
You should be taken to the url associated with the same bookmark the
    custom keyword ""blah"" was associated with. The browser should NOT perform an ""internet keyword search"", ""netsape
    smart browsing search"", or any other search."
T-20,"Purpose
This basic testcase is designed to verify that you can pick which columns
  you would like to show/hide.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel.

Steps/Description
Select Bookmarks|Manage Bookmarks. Click the icon on the far right of the column headers. Uncheck two of the items (columns). Recheck an item. Quit and restart the application.

Expected Results
Step(2) a popup menu should appear listing all of the column headers as
    menuitems. Step(3), they should all be checked by default and unchecking should
    cause that column to disappear from the manage bookmarks window. Step(4), the columns should reappear upon rechecking its name on the
    list. Step(5) the columns should appear just as the did after step(4)."
T-30,"Purpose
This basic testcase is designed to verify that bookmarks and folders can't
  be dropped onto themselves, an immediate parent container or any child
  container.","Initial Conditions
You must have a bookmarks file. To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks , which I
    use. I have also provided the default Mozilla bookmarks file. You also have the option to use this very large bookmarks file . You must also customize your sidebar to include a bookmarks panel. As part of your bookmarks file you need a folder (lets' call it folder
    ""A"") that contains bookmarks and another folder (let's call this folder
    ""A 1 "" (read Asub1)) that contains bookmarks as well.

Steps/Description
Select Bookmarks|Manage Bookmarks. Select folder A 1 then drag&drop it onto or within
    itself Select folder A 1 then drag&drop it onto or within folder
    A. Select folder A then drag&drop it onto or within folder
    A 1 . Select a bookmark within folder A 1 and drop it onto folder
    A 1 .

Expected Results
Nothing should happen! No bookmark or folder should be moved in any of
    these cases. Ideally, one should see the International symbol for ""No""
    cursor."
T-33,"Purpose
Determine whether native and non-native images are correctly copied.","Initial Conditions
None.

Steps/Description
For each of the below images:
Follow the link Copy the image to the Clipboard View the system Clipboard. --- To view the system Clipboard: Mac OS: Select ""Show Clipboard"" from the Finder. Windows: Select ""Clipboard Viewer"" from the Accessories
    subgroup of the Programs group.

Expected Results
The image should appear in the clipboard, identically to how it appeared
  within the browser window."
T-40,"Purpose
Determine whether HTML entities are
  properly copied from web pages.","Initial Conditions
None.

Steps/Description
View the below-linked web page. Copy its content. Paste it into a text editor, such as WordPad (Windows) or BBEdit
    (Mac).

Expected Results
After step #3, the character entities should continue to display correctly
  when pasted out of the browser."
T-49,"Purpose
Confirm that dragging all types of Internet shortcut to the browser window
  opens the URL","Steps/Description
Windows
Download and decompress the bookmarks.zip archive file Drag each shortcut file (from the archives) to the browser window
Mac OS
Download and decompress the bookmarks.sit archive file Drag each shortcut file (from the archives) to the browser window
Linux
Create a Web shortcut on your desktop environment Drag the shortcut to the browser window

Expected Results
Windows
Dragging Netcenter (Internet Explorer-originated shortcut,
  with off-line availability) should open www.netscape.com
Dragging Shortcut to mozilla.org (Communicator 4.7-originated
  shortcut) should open www.mozilla.org
Mac OS
Dragging www.netscape.com/ (Mac OS Internet Shortcut) should
  open www.netscape.com
Dragging mozilla.org (Navigator bookmark) should open www.mozilla.org
Linux
The browser should load the shortcut URL"
T-50,"Purpose
Confirm that dragging a text file to the browser window displays the
  document contents","Steps/Description
Drag a text file from your desktop to the browser window

Expected Results
The document content should be displayed in the browser window as if the
  file were opened from File|Open."
T-51,"Purpose
Confirm that supported image files dragged to the browser window are
  properly displayed","Steps/Description
Download each of the image files each below to your computer From your desktop or file manager, drag each downloaded file to the
    browser window

Expected Results
2. Each image should be displayed in the browser window."
T-52,"Purpose
Confirm that files for installed helper applications are properly
  processed when dragged from the desktop","Initial Conditions
Macromedia Flash helper application is installed for the application

Steps/Description
Download the firstrun.swf test file to your
    computer From your desktop or file manager, drag the downloaded file to the
    browser window

Expected Results
2. The RealPlayer 7 intro animation should display within the browser
  window."
T-55,"Purpose
Verify that all valid file types can be dragged onto the application icon
  on Windows and Mac OS","Steps/Description
Download the test archive for your system, linked below, to your
    computer and decompress it. Drag the HTML file mozilla.html onto the
    application icon Drag the shortcut file mozilla.org onto
    the application icon Drag the text file mozilla.txt onto the
    application icon Drag the image file mozilla.jpg onto the
    application icon Drag the image file mozilla.gif onto the
    application icon Drag your a folder (or directory) icon from your desktop or file
    manager onto the application icon. Drag the Recycle Bin (Trash on Mac OS) onto the application icon.

Expected Results
2. The mozilla.org page should be displayed
3. The mozilla.org Web site should be displayed
4. The mozilla.org text file should be displayed
5. Mozilla himself should be displayed
6. The mozilla.org banner should be displayed
7. The directory contents should be displayed
8. The drag&drop operation should be either rejected or ignored"
T-56,"Purpose
Verify that dragging the URL proxy icon (in the Location Bar) to a browser
  window opens that URL in target window.","Steps/Description
Open a Web site Open a new browser window Drag the URL proxy icon in the Location Bar of the first browser window
    to the new window

Expected Results
3. The Web site should open in the target window"
T-88,"Purpose
Verify that there is Troubleshooting Help about the problem ""if you
  can't sign on""","Initial Conditions
Mozilla should be started up

Steps/Description
From the Help drop down menu, select Help and Support Center Open your sidebar if it is not already open (click on the widget to
    the left hand side of your browser) Click on the Index tab Doubleclick on the T in the index Click the If You Can't sign on link

Expected Results
1. The Help and Support Center window should open
3. An alphabetic list should display on the left hand side of the
  window
4. The T should expand and you should see Troubleshooting listed
5. You should be taken to Help information regarding sign on
  issues"
T-97,"Purpose
This basic testcase is designed to verify that the Page Up and Page Down Keys function properly in help","Initial Conditions
Netscape should be started up

Steps/Description
Select the toplevel Help menu. Select Technical Support Push the Page Down Key on your keyboard Push the Page Up Key on your keyboard Click a few random links in help and try using these keys
    again

Expected Results
2. You should be taken to http://help.netscape.com/
4. This should move you down the page until the end
5. This should move you up the page until you reach the top
6. Page up and Page Down keys should 
  consistantly move you up and down pages"
T-101,"Purpose
This basic testcase is designed to verify that when clicking
  non-clickable areas in help, no behavior occurs","Initial Conditions
Netscape should be started up

Steps/Description
Select the toplevel Help menu. Select Help Contents Click on the greyed out previous button Click on the greyed out back button Click on the Netscape logo in uppper right

Expected Results
2. You should be taken to the help contents page
3. Nothing should happen
4. Nothing should happen
5. Nothing should happen"
