ID,Feature,Description
R-3,File Bookmark,"Add a new bookmark into a specific location within the bookmarks
      hierarchy."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-9,Surf All Bookmarks,Verify that there are no 'dead' default links.
R-13,Create/Delete separator,Verify separators are properly added/deleted.
R-14,Save State,Verify that changes are saved over restart/crash
R-30,Prevent bad drops,"Verify that it is NOT possible to drop an item onto itself or its
      immediate parent or child"
R-32,Styled Text,"Determine whether text copied from a formatted web page (such as
      within a table) has a ""non-annoying"" layout."
R-34,Negative,"Determine whether non-copyable page content such as UI widgets are
      correctly omitted from the Clipboard content."
R-41,D&D Links across browser windows,"Confirm that dragging a link across browser windows
      opens the link."
R-42,D&D Links onto the Desktop,"Confirm that dragging a link from the browser window
      onto the desktop creates a shortcut."
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-49,D&D from the desktop – Shortcuts,"Confirm that dragging an Internet shortcut to the
      browser window opens the URL"
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-54,D&D from Find File window,"Verify that items dragged from a
       Find File window are handled properly
       (Windows / Mac OS)"
R-58,D&D from Bookmark Manager,"Determine if the application and OS properly
      handle items dragged from the Bookmark Manager"
R-60,D&D Large Images (stress),"Verify that dragging a large (e.g. 5 MB) image across
      browser windows, to desktop, and into mail message
      works properly."
R-63,Dragging links to AIM,"Verify that you can drag a URL or page content to
      an AIM window"
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-65,Form Manager - Pop-up,"Verify that a form fill popup menu is activated
      when a field gets accessed that has been saved in form
      manager data."
R-68,Save Form Data - right click,"Verify that you can save a form's data by right clicking on
      the form itself."
R-70,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-82,Tooltips,"Verify that there are ""Big tooltips"" - Similar to popup help for
        Windows control panels"
R-83,Search,"Verify that you have the ability to search by typing keyword
        synonyms, and verbs to bring up related topics in help content. Verify
        that if the entered phrase may not actually exist in the help document,
        but it is related to topic."
R-88,TS/Sign on,"Verify that there is Troubleshooting Help about the problem ""if you
        can't sign on"""
R-90,TS/Buddy List,"Verify that there is Troubleshooting Help about the problme ""if you
        can't see anyone in your buddy list window."""
R-91,Glossary,"Verify that in the Glossary there includes a section on tips and
        tricks/tip of the day."
R-93,Glossary,"Verify that in the Glossary there includes a section for an Upgrade
        Guide."
R-97,Page up/down,"Verify that page up and down, in fact, page up and down in
        help"
R-98,Hide/Show toolbar,"Verify that you can hide the toolbar in help as well as reopen
        it"
R-100,Drag Receipt,Verify that you can't drag docs into the help window
R-104,Mail and News,"Determine whether Mail and News help content displays
        correctly"
R-105,Instant Messenger,"Determine whether Instant Messenger help content displays
        correctly"
R-109,What's new in Netscape 6,Determine whether What's new in Netscape 6 displays correctly
R-113,The Best Standards Support,"Determine whether the Best Standards Support displays
        correctly"
R-115,Netscape Technical Support,"Determine whether Netscape Technical Support displays
        correctly"
R-116,Security Center,Determine whether the Security Center displays correctly
R-117,International Users,Determine whether International Users displays correctly
R-121,Record sites,Verify that visited links are recorded.
