ID,Feature,Description
R-001,A new bookmark shall be added into a specific location within the bookmarks hierarchy.,A new bookmark shall be added into a specific location within the bookmarks hierarchy.
R-002,Bookmarks shall be properly deleted from bookmarks file and no longer be displayed  from all access points.,Bookmarks shall be properly deleted from bookmarks file and no longer be displayed  from all access points.
R-003,Bookmarks shall be added and deleted from the personal toolbar.,Bookmarks shall be added and deleted from the personal toolbar.
R-004,New bookmark folder shall be inserted into the bookmarks hierarchy.,New bookmark folder shall be inserted into the bookmarks hierarchy.
R-005,Double-clicking on a bookmark shall cause it to be launched in a browser window.,Double-clicking on a bookmark shall cause it to be launched in a browser window.
R-006,Bookmarks within the default bookmarks file that is packaged with the browser shall be valid links.,Bookmarks within the default bookmarks file that is packaged with the browser shall be valid links.
R-007,Changes to a bookmark item shall be saved without loss of item integrity.,Changes to a bookmark item shall be saved without loss of item integrity.
R-008,Bookmarks folder shall be deleted.,Bookmarks folder shall be deleted.
R-009,Bookmarks separators shall be added and deleted.,Bookmarks separators shall be added and deleted.
R-010,Bookmarks changes shall be saved over restart/crash.,Bookmarks changes shall be saved over restart/crash.
R-011,"View properties shall execute for bookmarks, folders, and separators(negative).","View properties shall execute for bookmarks, folders, and separators(negative)."
R-012,"Bookmarks shall be renamed ""inline"", i.e. without having to use the bookmarks properties dialog.","Bookmarks shall be renamed ""inline"", i.e. without having to use the bookmarks properties dialog."
R-013,Bookmarks shall be found using user-defined custom keyword.,Bookmarks shall be found using user-defined custom keyword.
R-014,Bookmarks shall be sorted and reverse-sorted per column.,Bookmarks shall be sorted and reverse-sorted per column.
R-015,Bookmark columns shall be resizable to show/hide more of entries.,Bookmark columns shall be resizable to show/hide more of entries.
R-016,Bookmark columns shall be showed and hidden.,Bookmark columns shall be showed and hidden.
R-017,Several bookmarks shall be deleted at one time.,Several bookmarks shall be deleted at one time.
R-018,It shall be not possible to drop a bookmark item onto itself or its immediate parent or child.,It shall be not possible to drop a bookmark item onto itself or its immediate parent or child.
R-019,Non-copyable page content such as UI widgets shall be correctly omitted from the Clipboard content.,Non-copyable page content such as UI widgets shall be correctly omitted from the Clipboard content.
R-020,"Text shall be cut, copied and pasted from text fields within a dialog box.","Text shall be cut, copied and pasted from text fields within a dialog box."
R-021,Dragging a text or image link from one browser window to another shall open the link in the target window.,Dragging a text or image link from one browser window to another shall open the link in the target window.
R-022,Dragging a link from the browser window onto the desktop shall create a shortcut.,Dragging a link from the browser window onto the desktop shall create a shortcut.
R-023,Dragging an image across browser windows shall open the image in the target window.,Dragging an image across browser windows shall open the image in the target window.
R-024,Dragging an image onto the desktop shall save the image.,Dragging an image onto the desktop shall save the image.
R-025,"Dragging a link or image to a frame-set page properly shall replace the entire window contents, and that dragging from within a frame-set page shall replace the target frame.","Dragging a link or image to a frame-set page properly shall replace the entire window contents, and that dragging from within a frame-set page shall replace the target frame."
R-026,Images and rich text shall be dragged from a browser window to a editor window.,Images and rich text shall be dragged from a browser window to a editor window.
R-027,"Text, links, and images shall be dragged to a non-modal dialog.","Text, links, and images shall be dragged to a non-modal dialog."
R-028,Dragging a directory to the browser window shall display the folder contents.,Dragging a directory to the browser window shall display the folder contents.
R-029,Dragging an Internet shortcut to the browser window shall open the URL.,Dragging an Internet shortcut to the browser window shall open the URL.
R-030,Dragging a text file to the browser window shall display the document contents.,Dragging a text file to the browser window shall display the document contents.
R-031,Dragging a supported image file to the browser window shall display the image.,Dragging a supported image file to the browser window shall display the image.
R-032,"Files, folders, or shortcuts dragged from a Find File window shall open in the browser window.","Files, folders, or shortcuts dragged from a Find File window shall open in the browser window."
R-033,Files dragged onto the application icon shall be displayed.,Files dragged onto the application icon shall be displayed.
R-034,Dragging the URL proxy icon to a browser window shall open that URL in the target window.,Dragging the URL proxy icon to a browser window shall open that URL in the target window.
R-035,Dragging the URL proxy icon from the location bar onto the desktop shall create a shortcut.,Dragging the URL proxy icon from the location bar onto the desktop shall create a shortcut.
R-036,The application and OS shall handle items dragged from the Bookmark Manager.,The application and OS shall handle items dragged from the Bookmark Manager.
R-037,The Bookmark Manager shall handle items dragged onto it.,The Bookmark Manager shall handle items dragged onto it.
R-038,A form fill popup menu shall be activated when a field gets accessed that has been saved in form manager data.,A form fill popup menu shall be activated when a field gets accessed that has been saved in form manager data.
R-039,A form's data shall be saved from the edit menu.,A form's data shall be saved from the edit menu.
R-040,The user shall be able to discard saving a form's data from the dialog box.,The user shall be able to discard saving a form's data from the dialog box.
R-041,The user shall be able to choose never saving a form's data from the dialog box.,The user shall be able to choose never saving a form's data from the dialog box.
R-042,"A form's data shall be saved from the popup dialog box, never for this site and never asked again upon returning to the site.","A form's data shall be saved from the popup dialog box, never for this site and never asked again upon returning to the site."
