ID,Feature,Description
SR1,"Verify MAR, Physical Security, Fuel Rod and Criticality Limits","Before a transfer is made of a source from one location to another, a calculation must be performed to verify that the transfer will not cause the new location to exceed MAR (CAT 3), physical security, fuel rod or criticality  limits, based on government regulation-defined limits found in DOE-STD-1027-92, LA-12981-MS, DOE M 470.4-6 [NEN1-ST-DAR], and facility specific criticality limits."
SR2,Transferring Accountable MASS or RSSDMS sources,A MASS source must be allowed to be transferred only to another approved MASS location.  RSSDMS sources may be moved to any location. Note: the user should be provided with a list of buildings and rooms that the source can be transferred to (approved MASS locations) for MASS transactions.
SR3,Remove source from home repository ,A capability must be provided for a user to remove a source from its home repository.  
SR4,Return Source to Home Repository,A capability must be provided to return a source that has been removed from its home repository back to its home repository.
SR5,Re-Assign Source’s Current Location and/or Owner,A capability must be provided to any user to transfer a source from a location other than its home repository to another location that is also not its home repository.
SR6,Transaction Log new ,A log of transactions must be kept in the database for a minimum of one year. 
SR7,Browse Sources ,A capability must be provided to display a list of all sources in the database.
SR8,Display Category 3 MAR Status for each of the Radiation Facilities ,A capability must be provided to display Category 3 MAR status for each building. 
SR9,Display Category IV Physical Security Status for each of the MBAs ,A capability must be provided to display Category IV Physical Security status for each MBA. 
SR10,Display Criticality and Fuel Rod Status for each of the Radiation Facilities,A capability must be provided to display criticality status for each building. 
SR11,Sample Source Transaction,"A capability must be added to perform a test source transaction to determine whether the transaction would exceed MAR, physical security, fuel rod or criticality limits."
SR12,Confirm inventory,A capability must be provided to confirm source inventory.  Note: An inventory of all registered sources is required by the Department of Energy (DOE) every six months. 
SR13,Transfer a source permanently from one location to another,A capability must be provided to change the home repository of a source.
SR14,Create a summary csv file of all sources ,"A capability must be provided to write summary information about all sources in the database into a formatted file and saved in a user-defined directory, or emailed."
SR15,Edit program parameters ,A capability must be provided to edit program parameters.
SR16,Record Leak Testing,A capability must be provided to record that a source was leak tested.  Note: sources must be leak tested periodically as defined in ISD 121-1.1.
SR17,Verify leak testing,"Before a transfer is made of a source from one location to another, the leak testing status of that source must be checked to see if the leak testing is out of date or not. Note: leak test parameters are specified in ISD 121-1.1."
SR18,Automatic Database Backups,An automatic backup must be made of the central database every day.
SR19,Manually input MAR (CAT 3) contribution value for a source ,"A capability must be provided for the Custodian to manually enter a MAR (CAT 3) contribution override value used when verifying MAR limits.  Note:  If no override value is entered for a source, Source Tracker calculates the MAR contribution value."
SR20,Time-out timers,"A time-out timer must be provided for each transaction such that if the user does not complete a transaction within a time limit, the transaction is cancelled and the screen returns to the main menu.  Note: this is needed so that a user or Custodian doesn’t accidentally enter their Z number and leave the computer open for anyone (unauthorized people) to make changes."
SR21,Add/Delete/Modify Source Information,"A capability must be provided to add, delete, and edit source parameters."
SR22,Add/Modify User Information,"A capability must be provided to add, or edit authorized users."
