ID,Purpose,Test steps
T-1,,"1 - A window must be displayed showing the MAR, physical security, fuel rod, and criticality values for the new location before the transfer and for the new location after the transfer.  
2 – Sources within ANSI certified containers (exempt sources) must not contribute to MAR values.
3 – If the transfer would cause the new location to exceed MAR, physical security, fuel rod, or criticality limits based on government regulation-defined limits found in DOE M 470.4-6., the transfer must not be allowed and a message must be displayed.
4 – MAR physical security, fuel rod, and criticality limits must be verified every time a source is transferred to a different location, including when it is removed from its home repository, when it is returned to its home repository, or when it is re-assigned to a different location or a different owner, or is permanently transferred to another home repository.  
5 – Upon startup of the Source Tracker a program window must be displayed showing that the MAR, physical security, fuel rod, and criticality values are being calculated."
T-2,,"1 – When a MASS or RSSDMS source is being transferred within the same MBA, the NMC must be sent an email message about this transfer.  Note: the user should also receive a message indicating that this notification must be done.
2 - When a MASS or RSSDMS source is being transferred to a different MBA, a MASS authorized user must also enter his/her Z number (in addition to the user entry of the source bar code and user Z number) and the NMC must be sent an email message about this transfer
3 – When a MASS source is transferred to a different MASS location, a message must be displayed that the MASS system must also be manually updated in the appropriate external accountancy system, and an email sent to the NMC’s."
T-3,,"1 - The user must enter the bar code of the source and his/her Z number via the barcode scanner and must be an authorized user.
2 – If the source is currently not located in its home repository, the user may still remove it but a warning message must be displayed instructing them to return it to the home repository when they have finished with it.
3 - A display must be presented indicating the source description and the transfer details.
4 - The user must be given the opportunity to complete the transfer, cancel the transfer, or complete the transfer and continue with additional transfers.
5 – If the transfer transaction completes successfully, the database must be updated with the new location and source owner.  
6 – If the user cancels the operation, no database update will be made.  
7 – If a source has an expired leak test date, it must not be allowed to be removed from the repository unless it is within the configured grace period.  Note: an error message should be displayed and an email message should be sent to the Custodian."
T-4,,"1 - The user must enter the bar code of the source being returned using the barcode scanner.
2 – It must be verified that the source is currently removed from its home repository.
3 – A return must be performed at the home repository.
4 – The database must update the source location to its home repository."
T-5,,"1 - The user that wants to be the new owner of the source must enter the bar code of the source and his/her Z number using the barcode scanner, and must be an authorized user.  Note: the new owner is allowed to be the current owner also.
2 - The user must select the new location.  Note: the new location is allowed to be the current location also.
3 - A display must be presented indicating the source description and the transfer details.
4 - The user must be given the opportunity to complete the transfer, cancel the transfer, or complete the transfer and continue with additional transfers.
5 – If the transfer transaction completes successfully, the database must be updated with the new location and new source owner.  Note: it is possible that only the location or only the owner will actually change.
6 - If the user cancels the operation, no database update will be made.
The reassignment sequence is nearly identical to the checkout process, except that the user being assigned the source could either be the current owner or another source handler."
T-6,,"1 – Every source transaction in Source Tracker will be logged with a time/date, user, source information and transaction detail.
2 – NMC’s may access a report of all transactions in a date range (start date/time, end date/time).  This report may be emailed."
T-7,,"1 – The user must enter his/her Z number using the barcode scanner and must be an authorized user.
2 – The information displayed for each source must include the bar code number, source ID, isotope type, activity level, current owner, location, photograph of the source and photograph of the source packaging certification (if it exists) and mass value.
3 – The user must be allowed to sort the displayed sources by bar code number, source ID, activity value, or mass value.  Note: sources should be sorted in ascending order by the chosen characteristic.
4 – The user must be allowed to select which sources are displayed based on search criteria.  Note: any combination of search criteria should be allowed.
4.1 – The user must be allowed to display only sources of a specified source type or all possible source types.
4.2 – The user must be allowed to display only sources containing a specified isotope or all possible isotopes.  The user must be able to select any particular isotope found in the database.
4.3 – The user must be allowed to display only sources currently located in specific locations or select all possible locations.  The user must be able to select a particular room or building.
4.4 – The user must be allowed to display only sources currently owned by a specific authorized user, all sources not currently owned (in a repository), all sources with an owner (not in a repository), or select all possible owners (in a repository or not).  Note: a quick way for a user to search for sources he/she owns should be provided.
4.5 – The user must be allowed to display only MAR (non-exempt) sources or all sources (CAT 3 or not).  The user must be able to select MAR sources by building.  When the user selects to display only MAR sources, the information displayed for each source must also include the MAR contribution (fraction) of each isotope.
5 – The user must be able to view additional details about a source.  Note: additional details may include last inventory date, last leak test date, when checked out (if it is checked out), source description, MAR building limit contribution, whether it is an exempt source, source packaging certification (when it exists) and whether it is a MASS source.
6 – The user must be able to view a picture of each source if one is available.
7 -- The user must be able to view a list of his/her sources that they currently have checked out."
T-8,,"1 – The user must enter his/her Z number using the barcode scanner and must be an authorized user.
2 – The MAR levels for each building must be calculated and displayed as percentages of allowable limits.  For each building, the checked-out RAD can totals, and the total of those values will be displayed.  Note: A quick way for a user to display all MAR sources for a building should be provided."
T-9,,"1 – The user must enter his/her Z number using the barcode scanner and must be an authorized user.
2 – The CAT IV attractiveness levels for each MBA must be calculated and displayed.  For each MBA, the B, C, D, and E attractiveness totals for both Plutonium and Uranium must be displayed."
T-10,,"1 – The user must enter his/her Z number using the barcode scanner and must be an authorized user.
2 – The total grams of material contributing to the criticality limit for each building must be calculated and displayed along with the building’s criticality limit.  For each building, the number of fuel rods currently at the building must also be displayed (if applicable) along with the limit for the number of fuel rods allowed at that building."
